ss_presented,inhibited,ssd,rt,value
0,-999,-999,334,0
0,-999,-999,390,1
0,-999,-999,328,1
1,0,300,343,1
1,1,200,-999,1
1,1,250,-999,1
1,1,300,-999,0
0,-999,-999,448,0
0,-999,-999,240,1
1,0,450,448,1
0,-999,-999,393,0
0,-999,-999,388,0
1,0,300,368,1
1,1,150,-999,1
0,-999,-999,518,0
1,1,250,-999,0
0,-999,-999,333,1
1,0,400,325,0
1,1,250,-999,1
0,-999,-999,678,0
0,-999,-999,458,1
1,0,400,342,0
1,0,350,355,1
0,-999,-999,486,1
1,1,200,-999,1
0,-999,-999,425,1
1,1,300,-999,0
0,-999,-999,400,0
0,-999,-999,406,0
1,0,450,411,0
0,-999,-999,568,0
1,1,300,-999,0
1,0,400,394,0
0,-999,-999,359,1
0,-999,-999,219,0
0,-999,-999,227,0
1,0,350,387,1
0,-999,-999,260,0
0,-999,-999,587,1
0,-999,-999,400,1
0,-999,-999,215,1
0,-999,-999,290,1
0,-999,-999,284,1
0,-999,-999,245,1
1,1,250,-999,0
0,-999,-999,227,0
0,-999,-999,436,0
1,0,450,485,1
0,-999,-999,303,0
0,-999,-999,386,1
1,0,300,307,0
0,-999,-999,334,0
1,1,200,-999,0
1,0,300,276,0
1,1,150,-999,1
0,-999,-999,471,0
0,-999,-999,642,1
0,-999,-999,392,1
1,1,250,-999,0
1,0,400,502,0
1,1,350,-999,0
0,-999,-999,383,0
1,1,400,-999,0
0,-999,-999,375,1
0,-999,-999,610,0
1,0,500,265,0
1,0,450,227,1
1,1,400,-999,0
1,0,500,345,1
1,0,350,491,1
0,-999,-999,419,1
1,1,250,-999,0
1,0,400,346,0
1,1,250,-999,0
0,-999,-999,368,0
0,-999,-999,432,0
1,0,300,202,0
1,0,150,221,0
0,-999,-999,573,0
0,-999,-999,390,1
1,1,100,-999,0
0,-999,-999,413,0
0,-999,-999,212,0
0,-999,-999,490,1
1,1,150,-999,1
1,0,300,399,0
0,-999,-999,214,0
0,-999,-999,415,1
0,-999,-999,204,0
0,-999,-999,351,1
1,1,150,-999,1
1,0,300,239,1
0,-999,-999,213,0
0,-999,-999,238,1
0,-999,-999,238,0
0,-999,-999,221,0
0,-999,-999,420,1
1,0,200,220,1
1,1,100,-999,1
1,1,150,-999,0
0,-999,-999,461,1
0,-999,-999,380,0
0,-999,-999,379,1
0,-999,-999,216,0
0,-999,-999,270,1
1,0,200,216,0
0,-999,-999,201,1
1,1,150,-999,0
0,-999,-999,224,1
1,1,250,-999,0
0,-999,-999,203,1
1,0,300,232,1
0,-999,-999,472,0
1,1,100,-999,0
0,-999,-999,262,1
1,1,250,-999,0
1,0,300,213,1
1,0,100,203,1
1,1,100,-999,0
1,1,200,-999,1
0,-999,-999,637,1
1,0,350,422,1
0,-999,-999,197,1
0,-999,-999,463,0
0,-999,-999,357,1
0,-999,-999,198,0
1,0,300,365,1
0,-999,-999,272,0
1,0,200,286,1
0,-999,-999,187,0
0,-999,-999,216,1
0,-999,-999,231,0
0,-999,-999,372,1
0,-999,-999,436,1
0,-999,-999,207,1
1,1,200,-999,0
0,-999,-999,357,0
0,-999,-999,209,0
0,-999,-999,264,0
1,0,300,216,1
0,-999,-999,222,1
0,-999,-999,243,0
0,-999,-999,399,0
1,0,250,216,1
1,1,150,-999,1
0,-999,-999,247,0
0,-999,-999,519,0
0,-999,-999,251,0
0,-999,-999,233,1
1,0,300,194,1
0,-999,-999,412,1
0,-999,-999,345,0
0,-999,-999,301,0
0,-999,-999,383,1
0,-999,-999,225,0
1,0,250,341,1
0,-999,-999,290,1
1,1,200,-999,1
0,-999,-999,460,1
0,-999,-999,375,0
0,-999,-999,438,0
0,-999,-999,268,1
1,0,250,283,0
0,-999,-999,282,0
1,1,100,-999,0
0,-999,-999,408,1
1,0,150,217,1
0,-999,-999,276,1
1,1,100,-999,0
0,-999,-999,476,0
0,-999,-999,477,0
0,-999,-999,337,0
1,0,200,202,0
0,-999,-999,225,1
1,1,100,-999,1
0,-999,-999,450,1
0,-999,-999,335,0
1,1,150,-999,0
1,0,200,292,1
1,1,100,-999,1
0,-999,-999,586,1
0,-999,-999,472,0
0,-999,-999,452,0
0,-999,-999,413,1
1,1,200,-999,1
0,-999,-999,328,0
0,-999,-999,445,1
0,-999,-999,348,0
0,-999,-999,375,0
0,-999,-999,198,1
0,-999,-999,360,1
0,-999,-999,408,1
1,0,300,258,1
0,-999,-999,427,0
0,-999,-999,444,0
0,-999,-999,404,0
1,1,150,-999,1
0,-999,-999,215,0
0,-999,-999,337,1
0,-999,-999,378,0
1,0,250,393,1
0,-999,-999,334,1
1,1,150,-999,0
0,-999,-999,417,0
0,-999,-999,253,0
0,-999,-999,418,1
1,0,300,341,0
0,-999,-999,436,1
0,-999,-999,361,1
0,-999,-999,429,0
1,1,150,-999,1
1,0,300,269,1
0,-999,-999,272,1
0,-999,-999,397,1
0,-999,-999,267,1
0,-999,-999,400,0
0,-999,-999,380,1
1,1,150,-999,1
1,1,150,-999,0
0,-999,-999,424,0
0,-999,-999,208,1
0,-999,-999,417,1
1,1,250,-999,0
1,1,400,-999,0
0,-999,-999,312,1
0,-999,-999,235,0
0,-999,-999,408,1
1,0,450,449,1
0,-999,-999,322,1
0,-999,-999,257,0
0,-999,-999,382,0
0,-999,-999,349,0
0,-999,-999,390,0
1,0,350,271,0
0,-999,-999,412,0
1,1,300,-999,0
0,-999,-999,412,1
1,0,400,343,1
0,-999,-999,204,1
1,0,350,216,1
0,-999,-999,439,0
0,-999,-999,347,0
0,-999,-999,338,0
0,-999,-999,450,0
0,-999,-999,386,0
1,0,300,277,1
0,-999,-999,243,1
0,-999,-999,415,1
1,1,250,-999,1
0,-999,-999,389,1
1,0,400,381,1
0,-999,-999,200,0
1,1,300,-999,1
0,-999,-999,620,0
1,1,350,-999,0
1,0,400,501,1
1,0,350,235,1
0,-999,-999,290,1
1,1,300,-999,1
1,1,450,-999,0
0,-999,-999,467,1
1,0,500,364,1
0,-999,-999,450,1
1,0,350,295,1
1,1,250,-999,0
0,-999,-999,305,0
1,1,250,-999,0
1,0,300,361,1
1,1,200,-999,1
0,-999,-999,404,0
0,-999,-999,191,1
0,-999,-999,586,0
1,1,200,-999,0
0,-999,-999,455,1
1,1,250,-999,1
1,1,300,-999,0
0,-999,-999,362,0
0,-999,-999,424,0
0,-999,-999,390,1
0,-999,-999,344,0
1,0,400,395,0
1,1,250,-999,0
0,-999,-999,302,1
0,-999,-999,250,1
