ss_presented,inhibited,ssd,rt,value
1,0,300,243,1
0,-999,-999,243,0
0,-999,-999,238,1
0,-999,-999,265,1
1,0,200,241,1
0,-999,-999,298,0
1,1,83,-999,1
1,1,150,-999,1
0,-999,-999,214,1
0,-999,-999,398,0
0,-999,-999,543,0
0,-999,-999,235,1
0,-999,-999,343,0
1,1,200,-999,0
0,-999,-999,355,0
0,-999,-999,365,0
0,-999,-999,312,0
0,-999,-999,223,1
0,-999,-999,263,0
0,-999,-999,229,1
1,0,250,224,1
1,1,150,-999,0
1,0,250,323,0
0,-999,-999,370,0
1,1,150,-999,0
0,-999,-999,221,1
0,-999,-999,245,1
1,1,250,-999,0
0,-999,-999,295,0
1,0,300,355,0
1,1,150,-999,0
0,-999,-999,222,1
0,-999,-999,228,1
1,1,200,-999,0
0,-999,-999,375,0
0,-999,-999,242,1
1,0,300,314,0
0,-999,-999,254,1
1,0,250,317,0
1,1,83,-999,0
0,-999,-999,313,0
1,0,250,290,0
1,1,83,-999,1
0,-999,-999,230,1
0,-999,-999,231,1
0,-999,-999,218,1
1,0,200,271,1
0,-999,-999,362,0
0,-999,-999,232,1
0,-999,-999,262,0
1,1,83,-999,0
1,0,200,238,1
1,1,83,-999,0
0,-999,-999,279,1
0,-999,-999,236,1
1,1,250,-999,0
0,-999,-999,352,0
0,-999,-999,370,0
0,-999,-999,374,0
0,-999,-999,235,1
0,-999,-999,217,1
0,-999,-999,239,1
1,0,367,380,0
0,-999,-999,389,0
0,-999,-999,226,1
0,-999,-999,380,0
0,-999,-999,241,1
0,-999,-999,322,0
0,-999,-999,251,1
0,-999,-999,245,1
1,0,300,353,0
0,-999,-999,336,0
0,-999,-999,326,0
0,-999,-999,246,1
0,-999,-999,380,0
0,-999,-999,355,0
0,-999,-999,282,1
1,0,250,306,0
0,-999,-999,249,1
1,1,83,-999,0
0,-999,-999,278,0
1,0,250,324,0
0,-999,-999,488,0
0,-999,-999,390,0
0,-999,-999,230,1
0,-999,-999,239,1
0,-999,-999,363,0
1,0,200,232,1
1,1,150,-999,0
0,-999,-999,227,1
1,0,200,219,1
0,-999,-999,331,0
1,1,150,-999,1
0,-999,-999,231,1
1,0,300,245,1
0,-999,-999,303,0
0,-999,-999,234,1
0,-999,-999,236,1
0,-999,-999,326,0
0,-999,-999,351,0
0,-999,-999,241,1
0,-999,-999,298,0
1,1,150,-999,0
0,-999,-999,233,1
0,-999,-999,248,1
1,0,250,268,0
0,-999,-999,233,0
0,-999,-999,376,0
0,-999,-999,422,0
0,-999,-999,251,1
1,1,150,-999,0
0,-999,-999,379,0
1,1,250,-999,0
0,-999,-999,259,1
0,-999,-999,237,1
0,-999,-999,272,1
0,-999,-999,253,1
1,0,300,259,1
0,-999,-999,300,1
1,1,200,-999,0
0,-999,-999,230,1
0,-999,-999,436,0
1,0,250,266,1
0,-999,-999,274,1
1,1,150,-999,1
0,-999,-999,371,0
0,-999,-999,349,0
0,-999,-999,362,0
0,-999,-999,245,1
0,-999,-999,266,1
1,0,367,255,1
0,-999,-999,431,0
0,-999,-999,253,0
1,0,300,240,1
0,-999,-999,234,1
1,0,200,222,1
1,1,83,-999,0
0,-999,-999,241,1
1,1,150,-999,0
1,0,200,238,1
1,0,150,632,1
0,-999,-999,371,0
0,-999,-999,389,0
0,-999,-999,315,0
0,-999,-999,319,0
0,-999,-999,402,0
1,1,150,-999,0
0,-999,-999,364,0
0,-999,-999,315,0
1,0,250,230,1
0,-999,-999,350,0
0,-999,-999,220,1
0,-999,-999,236,1
1,0,200,249,1
0,-999,-999,330,0
0,-999,-999,290,0
1,1,83,-999,0
0,-999,-999,235,1
1,1,150,-999,0
0,-999,-999,326,0
0,-999,-999,238,1
0,-999,-999,294,0
0,-999,-999,312,0
1,0,250,317,1
0,-999,-999,226,0
0,-999,-999,327,0
0,-999,-999,255,1
0,-999,-999,373,0
0,-999,-999,396,0
1,1,83,-999,1
1,1,250,-999,0
1,0,433,254,1
1,1,300,-999,0
0,-999,-999,315,1
0,-999,-999,349,0
0,-999,-999,394,0
0,-999,-999,278,1
0,-999,-999,247,1
1,0,433,261,1
0,-999,-999,297,1
1,0,300,282,1
0,-999,-999,297,1
1,1,150,-999,1
1,1,200,-999,0
1,1,250,-999,0
0,-999,-999,370,0
0,-999,-999,377,0
0,-999,-999,274,0
0,-999,-999,339,0
0,-999,-999,235,1
1,0,433,214,1
0,-999,-999,401,0
1,0,250,230,1
1,1,83,-999,1
1,1,150,-999,0
0,-999,-999,474,0
0,-999,-999,245,1
0,-999,-999,258,1
0,-999,-999,317,0
1,0,300,260,1
0,-999,-999,358,0
0,-999,-999,332,0
1,0,250,225,1
0,-999,-999,211,1
0,-999,-999,340,0
0,-999,-999,252,1
1,0,200,224,1
1,1,83,-999,0
0,-999,-999,328,0
0,-999,-999,239,1
1,0,250,290,0
0,-999,-999,312,0
0,-999,-999,225,1
1,1,150,-999,1
0,-999,-999,235,1
0,-999,-999,291,0
1,0,300,329,1
1,1,150,-999,1
1,0,300,251,0
0,-999,-999,220,0
0,-999,-999,292,1
0,-999,-999,241,1
1,1,200,-999,0
0,-999,-999,295,1
1,1,250,-999,0
1,0,300,356,0
0,-999,-999,258,1
1,0,250,258,1
0,-999,-999,363,0
0,-999,-999,403,0
0,-999,-999,242,1
1,0,200,268,1
0,-999,-999,433,0
0,-999,-999,275,1
0,-999,-999,271,1
0,-999,-999,383,0
1,1,150,-999,0
0,-999,-999,303,0
0,-999,-999,283,1
0,-999,-999,422,0
0,-999,-999,412,0
0,-999,-999,266,1
0,-999,-999,363,1
0,-999,-999,357,0
0,-999,-999,236,1
1,0,300,230,1
0,-999,-999,361,0
1,1,250,-999,0
0,-999,-999,252,1
1,0,367,348,0
0,-999,-999,227,1
0,-999,-999,240,1
1,1,200,-999,0
0,-999,-999,346,0
1,0,367,226,1
0,-999,-999,220,1
0,-999,-999,301,0
1,1,200,-999,0
1,0,250,328,0
0,-999,-999,246,1
1,1,83,-999,0
0,-999,-999,230,0
1,0,250,263,1
0,-999,-999,393,0
1,1,200,-999,0
0,-999,-999,255,1
1,0,367,249,1
1,1,200,-999,0
0,-999,-999,292,1
0,-999,-999,377,0
0,-999,-999,252,1
0,-999,-999,347,0
0,-999,-999,264,1
0,-999,-999,241,1
0,-999,-999,269,1
0,-999,-999,340,0
0,-999,-999,348,0
1,0,300,341,0
0,-999,-999,306,0
1,0,250,251,1
0,-999,-999,251,1
1,1,150,-999,0
0,-999,-999,260,1
1,0,250,234,1
1,1,150,-999,0
0,-999,-999,281,1
0,-999,-999,307,0
0,-999,-999,425,0
0,-999,-999,259,1
0,-999,-999,392,1
1,0,250,257,0
0,-999,-999,241,1
1,1,83,-999,1
0,-999,-999,371,0
1,0,250,222,1
0,-999,-999,478,0
0,-999,-999,396,0
0,-999,-999,219,1
1,0,200,228,1
0,-999,-999,416,0
0,-999,-999,241,1
0,-999,-999,230,1
0,-999,-999,253,1
1,1,83,-999,1
0,-999,-999,372,0
0,-999,-999,208,1
0,-999,-999,264,1
0,-999,-999,329,0
0,-999,-999,348,0
1,0,200,235,1
0,-999,-999,406,0
0,-999,-999,280,1
1,1,83,-999,0
1,0,200,282,1
0,-999,-999,239,1
0,-999,-999,320,0
0,-999,-999,271,1
0,-999,-999,311,0
