AcquireFixError_,AcquireFix_,AcquireTargetError_,AudioEnd_,AudioStart_,CancelEnd_,CancelStart_,Cancel_,CmanHeader_,DecideSec_,Decide_,EarlySaccade_,Eot_,ExtraJuiceEnd_,ExtraJuiceStart_,FixBreak_,FixSpotOff_,FixSpotOn_,Fixate_,IInvalidEnd_,IInvalidStart_,IdentifyRoom_,InfosEnd_,InfosStart_,ItiEnd_,ItiStart_,JuiceEnd_,JuiceStart_,MinThtEnd_,MinThtStart_,NoSaccade_,NogoEarlySaccade_,NogoLateSaccade_,NogoSaccadePostSsd_,NogoSaccadePreSsd_,OutcomeFixBreak_,OutcomeFixErr_,OutcomeGoCorrect_,OutcomeGoErr_,OutcomeNogoCancelBrk_,OutcomeNogoCancelNoBrk_,OutcomeNogoErr_,OutcomeNogoNonCancelBrk_,OutcomeNogoNonCancelNoBrk_,PdTriggerLeft_,PdTriggerRight_,PreRwrdBreak_,PreToneBreak_,Refix_,RewardDelayEnd_,RewardDelayStart_,RwrdBreak_,SaccadeSec_,Saccade_,StopSignal_,TargetAcquired_,TargetBreak_,TargetHold_,TargetPre_,Target_,TaskEnd_,TaskStart_,TimeoutEnd_,TimeoutStart_,ToneBreak_,ToneDelayEnd_,ToneDelayStart_,TrialGetReady_,TrialReady_,TrialStart_,XtraHoldBreak_,XtraHoldEnd_,XtraHoldStart_,TaskBlock,TaskType_,GoodTrial,HasInfosCodes,HasTrialStartAndEot,HasStartInfosAndEndInfos,DuplicateEventCodes_1,DuplicateEventCodes_2,DuplicateEventCodes_3,DuplicateEventCodes_4,DuplicateEventCodes_5,DuplicateEventCodes_6,DuplicateEventCodesCounts_1,DuplicateEventCodesCounts_2,DuplicateEventCodesCounts_3,DuplicateEventCodesCounts_4,DuplicateEventCodesCounts_5,DuplicateEventCodesCounts_6,DuplicateEventCodesTimes,UniqueEventCodes_1,UniqueEventCodes_2,UniqueEventCodes_3,UniqueEventCodes_4,UniqueEventCodes_5,UniqueEventCodes_6,UniqueEventCodes_7,UniqueEventCodes_8,UniqueEventCodes_9,UniqueEventCodes_10,UniqueEventCodes_11,UniqueEventCodes_12,UniqueEventCodes_13,UniqueEventCodes_14,UniqueEventCodes_15,UniqueEventCodes_16,UniqueEventCodes_17,UniqueEventCodes_18,UniqueEventCodes_19,UniqueEventCodes_20,UniqueEventCodes_21,UniqueEventCodes_22,UniqueEventCodes_23,UniqueEventCodes_24,UniqueEventCodes_25,UniqueEventCodes_26,UniqueEventCodes_27,UniqueEventCodes_28,UniqueEventCodes_29,UniqueEventCodes_30,UniqueEventCodes_31,UniqueEventCodes_32,UniqueEventCodes_33,UniqueEventCodes_34,UniqueEventCodes_35,UniqueEventCodes_36,UniqueEventCodes_37,UniqueEventCodes_38,UniqueEventCodes_39,UniqueEventCodes_40,UniqueEventCodesCounts_1,UniqueEventCodesCounts_2,UniqueEventCodesCounts_3,UniqueEventCodesCounts_4,UniqueEventCodesCounts_5,UniqueEventCodesCounts_6,UniqueEventCodesCounts_7,UniqueEventCodesCounts_8,UniqueEventCodesCounts_9,UniqueEventCodesCounts_10,UniqueEventCodesCounts_11,UniqueEventCodesCounts_12,UniqueEventCodesCounts_13,UniqueEventCodesCounts_14,UniqueEventCodesCounts_15,UniqueEventCodesCounts_16,UniqueEventCodesCounts_17,UniqueEventCodesCounts_18,UniqueEventCodesCounts_19,UniqueEventCodesCounts_20,UniqueEventCodesCounts_21,UniqueEventCodesCounts_22,UniqueEventCodesCounts_23,UniqueEventCodesCounts_24,UniqueEventCodesCounts_25,UniqueEventCodesCounts_26,UniqueEventCodesCounts_27,UniqueEventCodesCounts_28,UniqueEventCodesCounts_29,UniqueEventCodesCounts_30,UniqueEventCodesCounts_31,UniqueEventCodesCounts_32,UniqueEventCodesCounts_33,UniqueEventCodesCounts_34,UniqueEventCodesCounts_35,UniqueEventCodesCounts_36,UniqueEventCodesCounts_37,UniqueEventCodesCounts_38,UniqueEventCodesCounts_39,UniqueEventCodesCounts_40
NaN,13316.8342113495,NaN,NaN,NaN,NaN,NaN,NaN,13299.467086792,NaN,NaN,NaN,NaN,NaN,NaN,13780.8699607849,NaN,NaN,NaN,NaN,NaN,NaN,14822.8514194489,14782.874584198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14823.9164352417,13299.1805076599,NaN,NaN,NaN,NaN,NaN,13299.8359203339,13300.8599281311,13317.1617984772,NaN,NaN,NaN,1,1501,0,1,0,1,,,,,,,,,,,,,,1501,1600,1602,1610,1612,1620,2400,2406,2998,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,17494.9181079865,NaN,19563.9305114746,19533.9479446411,NaN,NaN,NaN,14873.1913566589,NaN,18831.2380313873,NaN,23102.3011207581,NaN,NaN,NaN,18528.256893158,17307.2392940521,18515.928030014,NaN,NaN,NaN,23142.9743766785,23102.9975414276,23101.9735336304,20171.9408035278,20140.9339904785,20065.9363269806,19030.9181213379,18831.5658569336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20166.9437885284,NaN,NaN,NaN,NaN,NaN,NaN,17306.9117069244,NaN,NaN,NaN,NaN,20165.9605503082,19564.5859241486,NaN,NaN,18822.9231834412,NaN,18830.9104442596,NaN,19031.9421291351,18516.2556171417,18527.9293060303,23143.9983844757,14872.8637695312,NaN,NaN,NaN,19564.2583370209,19032.2287082672,14873.5189437866,17288.889169693,17495.9011077881,NaN,20166.2473678589,19032.5565338135,2,1501,1,1,1,1,2990,,,,,,100,,,,,,,1501,1560,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2400,2404,2420,2424,2450,2452,2460,2480,2482,2502,2510,2512,2514,2516,2520,2522,2524,2526,2990,2998,2999,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
NaN,26260.0305080414,NaN,28426.0771274567,28396.0535526276,NaN,NaN,NaN,23194.2973136902,NaN,27693.3436393738,NaN,31869.4205284119,NaN,NaN,NaN,27303.6911487579,25982.3215007782,27291.0344600677,26050.0285625458,25929.0325641632,NaN,31910.0937843323,31870.1167106628,31869.0927028656,29035.0704193115,29003.0806064606,28928.0829429626,27893.0647373199,27693.67146492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29028.680562973,NaN,NaN,NaN,NaN,NaN,NaN,25982.0349216461,NaN,NaN,NaN,NaN,29028.0661582947,28426.691532135,NaN,NaN,27687.0357990265,NaN,27693.0570602417,NaN,27894.0477371216,27292.058467865,27303.3635616302,31911.1177921295,23193.9694881439,NaN,NaN,NaN,28426.3639450073,27894.3753242493,23194.6249008179,25968.026638031,26260.3580951691,NaN,29028.3939838409,27894.6621417999,3,1501,1,1,1,1,2980,2990,,,,,2,105,,,,,,1501,1560,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2400,2404,2420,2424,2450,2452,2460,2480,2482,2502,2510,2512,2514,2516,2520,2522,2524,2526,2980,2982,2990,2998,2999,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NaN,32120.0957298279,NaN,34326.1194229126,34296.1366176605,NaN,NaN,NaN,31958.4264755249,NaN,33596.1301326752,NaN,37726.4957427979,NaN,NaN,NaN,33137.7468109131,32017.4088478088,33126.1141300201,32096.0931777954,37242.1846389771,NaN,37767.1689987183,37727.1919250488,37726.1679172516,34934.1294765472,34902.1399021149,34827.1420001984,33794.1308021545,33596.4579582214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34927.7808666229,NaN,NaN,NaN,NaN,NaN,NaN,32017.1222686768,NaN,NaN,NaN,NaN,34927.1664619446,34327.4710178375,NaN,NaN,33586.1361026764,NaN,33595.1471328735,NaN,33795.1138019562,33126.4419555664,33137.4192237854,37768.1930065155,31958.0988883972,NaN,NaN,NaN,34327.1434307098,33796.1378097534,31958.7132930756,32010.1180076599,32120.4233169556,NaN,34927.4530410767,33796.4656352997,4,1501,1,1,1,1,2982,2990,,,,,2,109,,,,,,1501,1560,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2400,2404,2420,2424,2450,2452,2460,2480,2482,2502,2510,2512,2514,2516,2520,2522,2524,2526,2980,2982,2990,2998,2999,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NaN,39411.2215042114,NaN,42097.5420475006,42067.2316551208,41566.5366649628,40576.8611431122,41566.2498474121,37825.4959583282,NaN,NaN,NaN,45018.604516983,43294.2702770233,43194.2460536957,NaN,40426.8655776978,39172.506570816,40414.2088890076,39380.2146911621,39160.2184772491,NaN,45059.2777729034,45019.300699234,45018.2766914368,42680.2389621735,42673.2349395752,42598.2370376587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42675.2419471741,NaN,NaN,NaN,39172.2197532654,40576.2057304382,NaN,NaN,NaN,42673.5625267029,42098.5660552979,NaN,NaN,NaN,40576.5333175659,NaN,NaN,NaN,40415.2328968048,40426.5379905701,45060.3017807007,37825.1683712006,NaN,NaN,NaN,42098.2384681702,41567.2328472137,37825.8237838745,39166.1987304688,39411.5080833435,NaN,42673.8903522491,41567.56067276,5,1501,1,1,1,1,2528,2530,2980,2982,2990,2992,3,3,2,2,10,126,,1501,1570,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2340,2400,2404,2450,2452,2470,2472,2510,2512,2514,2516,2520,2522,2524,2526,2528,2530,2660,2980,2982,2990,2992,2998,2999,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
NaN,46201.283454895,NaN,48584.3362808228,48554.3127059937,NaN,NaN,NaN,45109.6177101135,NaN,47854.3062210083,NaN,51807.683467865,NaN,NaN,NaN,47413.9451980591,45758.5878372192,47400.3055095673,45821.2976455688,45707.3059082031,NaN,51848.7253189087,51808.0112934113,51807.3558807373,49192.346572876,49160.356760025,49086.3420963287,48052.3068904877,47854.633808136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49186.9807243347,NaN,NaN,NaN,NaN,NaN,NaN,45758.3010196686,NaN,NaN,NaN,NaN,49186.3255500793,48585.6471061707,NaN,NaN,47847.3019599915,NaN,47853.3232212067,NaN,48053.3308982849,47401.3295173645,47413.6176109314,51849.0121364594,45109.2898845673,NaN,NaN,NaN,48585.3192806244,48054.3138980865,45109.9042892456,45740.2787208557,46201.6112804413,NaN,49186.653137207,48054.6414852142,6,1501,1,1,1,1,2980,2982,2990,,,,23,23,108,,,,,1501,1560,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2400,2404,2420,2424,2450,2452,2460,2480,2482,2502,2510,2512,2514,2516,2520,2522,2524,2526,2980,2982,2990,2998,2999,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NaN,51967.3864841461,NaN,54306.4074516296,54276.4246463776,NaN,NaN,NaN,51898.3688354492,NaN,53573.7557411194,NaN,57575.7527351379,NaN,NaN,NaN,53164.0329360962,51961.3654613495,53152.4002552032,55471.4326858521,55311.4428520203,NaN,57616.4259910583,57576.4489173889,57575.4659175873,54914.4175052643,54883.4109306335,54808.413028717,53773.3948230743,53574.0835666656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54909.4204902649,NaN,NaN,NaN,NaN,NaN,NaN,51960.3824615479,NaN,NaN,NaN,NaN,54908.3964824677,54307.021856308,NaN,NaN,53566.3831233978,NaN,53573.3871459961,NaN,53774.4188308716,53153.3832550049,53163.7053489685,57617.4499988556,51897.3858356476,NaN,NaN,NaN,54306.7350387573,53774.7056484222,51898.6966609955,51948.3811855316,51967.6733016968,NaN,54908.7240695953,53775.0332355499,7,1501,1,1,1,1,2980,2982,2990,,,,16,16,106,,,,,1501,1560,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2400,2404,2420,2424,2450,2452,2460,2480,2482,2502,2510,2512,2514,2516,2520,2522,2524,2526,2980,2982,2990,2998,2999,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NaN,57895.4453468323,NaN,60345.508813858,60315.4850006104,NaN,NaN,NaN,57665.7826900482,NaN,59615.4787540436,NaN,63500.8623600006,NaN,NaN,NaN,59400.8073806763,57727.7553081512,59386.4712715149,63465.5139446259,62527.5299549103,NaN,63541.4946079254,63501.5177726746,63500.5347728729,60953.5191059113,60921.4882850647,60846.4906215668,59813.4794235229,59615.8063411713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60947.1292495728,NaN,NaN,NaN,NaN,NaN,NaN,57727.4684906006,NaN,NaN,NaN,NaN,60946.5148448944,60346.8194007874,NaN,NaN,59606.4674854279,NaN,59614.4957542419,NaN,59814.5034313202,59386.7990970612,59400.47955513,63542.5596237183,57665.4551029205,NaN,NaN,NaN,60346.4918136597,59815.4864311218,57666.0695075989,57717.4742221832,57896.4693546295,NaN,60946.8016624451,59815.8140182495,8,1501,1,1,1,1,2990,,,,,,94,,,,,,,1501,1560,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2400,2404,2420,2424,2450,2452,2460,2480,2482,2502,2510,2512,2514,2516,2520,2522,2524,2526,2980,2982,2990,2998,2999,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
NaN,63804.5399188995,NaN,NaN,NaN,NaN,NaN,NaN,63590.8515453339,NaN,NaN,NaN,NaN,NaN,NaN,63883.5515975952,NaN,63645.8609104156,NaN,NaN,NaN,NaN,64925.9016513824,64885.5562210083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63645.5330848694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64926.1884689331,63590.5237197876,NaN,NaN,NaN,NaN,NaN,63591.1791324615,63642.5430774689,63805.5229187012,NaN,NaN,NaN,9,1501,0,1,0,1,,,,,,,,,,,,,,1501,1600,1602,1610,1612,1620,2300,2400,2406,2990,2998,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,65910.5801582336,NaN,68328.6128044128,68298.5892295837,NaN,67524.6088504791,NaN,64983.5734367371,NaN,67597.8863239288,NaN,71516.939163208,NaN,NaN,NaN,67273.1964588165,65719.5837497711,67260.5807781219,NaN,NaN,NaN,71558.308839798,71517.2669887543,71516.6525840759,68936.6230964661,NaN,NaN,67796.5834140778,67598.5827445984,NaN,NaN,NaN,67589.5714759827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68930.2332401276,65718.5597419739,67523.5848426819,NaN,NaN,NaN,68929.6188354492,68329.5958042145,NaN,NaN,NaN,67523.9126682281,67597.5997447968,NaN,67797.607421875,67261.6047859192,67272.9096412659,71558.6364269257,64982.5494289398,NaN,NaN,NaN,68328.8996219635,67797.8940010071,64983.8602542877,65708.5654735565,65910.8669757843,NaN,68929.9466609955,67798.5904216766,10,1501,1,1,1,1,2990,2992,,,,,96,5,,,,,,1501,1574,1600,1602,1610,1612,1620,1622,2124,2126,2300,2302,2310,2320,2340,2400,2404,2420,2424,2450,2452,2460,2470,2480,2482,2510,2512,2514,2516,2520,2522,2604,2990,2992,2998,2999,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
